city,latitude,temperature (F),humidity (%),cloudiness (%),wind speed (mph)
gediz,38.99,28.01,91,92,7.14
lazi,45.57,44.6,65,0,5.82
ponedera,10.64,87.8,66,20,14.99
makakilo city,21.35,73.4,73,1,3.36
maltana,6.42,70.85,100,24,3.0
panaji,15.48,73.33,100,0,6.35
longkou,37.64,37.78,100,68,3.04
daulatpur,22.87,58.88,88,0,2.82
kisai,36.1,42.8,69,1,3.36
gizo,31.8,66.2,77,40,11.41
hekinan,34.87,41.0,80,40,8.05
caimito,22.95,82.4,54,20,8.05
puruaran,19.1,75.2,41,90,6.93
florencia,1.62,70.13,100,80,1.21
oak ridge,36.01,62.6,100,90,10.29
jianhu,29.93,51.8,76,92,2.24
imbatug,8.05,68.15,100,48,1.25
maceira,39.68,53.6,71,0,2.24
bantuanon,8.02,66.85,100,76,1.03
helena,46.59,5.0,77,1,3.04
tikrit,34.62,65.41,41,88,14.18
padang,-0.92,78.5,100,92,2.26
lawang,-7.83,68.33,87,32,3.11
aduturai,11.01,66.26,91,0,4.27
nortelandia,-14.45,81.25,90,76,4.0
erlanger,39.02,35.6,100,90,13.87
isla,18.03,83.27,76,20,11.88
seoni malwa,22.45,59.11,75,0,6.06
cerro largo,-28.15,71.12,100,92,4.38
nagareyama,35.87,42.8,70,40,2.24
iztapa,13.93,89.6,59,5,4.7
palenque,17.51,82.37,62,8,12.17
micco,27.85,82.4,69,90,5.82
goiatuba,-18.02,80.84,73,76,4.38
margarita,44.4,50.0,78,0,5.82
alasehir,38.35,32.87,93,92,3.83
amayuca,18.72,71.6,17,40,2.24
holly springs,35.65,71.6,60,1,12.75
taruma,-18.12,75.2,100,75,17.22
gaspar,-26.93,85.7,64,92,5.35
samon,15.5,77.0,83,75,4.7
san roque,0.3,67.03,64,12,0.76
dedza,-14.38,69.23,85,8,4.0
rizal,8.53,73.28,100,64,3.89
videira,-27.01,72.2,85,92,7.85
whittlesea,-37.51,60.8,93,90,9.17
ambikapur,23.12,47.18,81,0,2.59
tocaima,4.46,78.8,78,75,4.7
nagda,23.46,62.66,64,80,2.89
pensilvania,5.38,73.51,82,36,1.99
avenal,36.0,46.4,61,1,8.05
puttur,12.76,77.0,65,12,4.7
el torno,-17.99,75.2,100,75,17.22
kununurra,-15.77,80.6,94,90,3.36
wucheng,29.09,42.41,95,92,2.48
mercedes,-33.25,73.37,91,88,17.92
quang ngai,15.12,67.7,99,92,2.48
kostalexis,38.86,37.4,74,20,9.17
santa maria,-29.69,68.65,100,92,5.91
cubulco,15.11,71.6,60,40,16.11
ambilobe,-13.19,72.25,100,100,2.48
seoni,22.09,53.12,87,12,2.89
hueytown,33.45,57.2,87,90,10.29
canoinhas,-26.18,76.61,80,80,10.94
hetauda,27.43,48.2,93,20,3.36
harqalah,35.96,56.9,66,92,5.79
ongwediva,-17.78,75.35,58,92,4.56
apache junction,33.41,53.6,27,75,11.41
carnaiba,-8.7,94.03,32,20,11.27
neosho,43.31,21.2,72,90,4.7
jimalalud,9.98,75.31,97,44,4.56
san buenaventura,27.06,64.4,36,75,3.83
yorito,15.07,78.32,54,0,2.82
curridabat,9.91,82.4,47,40,14.99
san jose,15.79,73.73,89,48,3.22
chambery,45.57,42.8,81,90,5.82
lebowakgomo,-24.3,77.0,57,20,2.24
ha noi,21.02,62.6,72,75,6.93
ixil,21.15,87.8,43,75,9.17
somondoco,4.99,79.58,53,8,1.99
stafford,52.81,48.2,93,20,6.93
ceuta,23.9,80.26,49,68,2.82
maketu,-37.76,63.83,95,100,6.29
la jigua,-1.06,80.6,74,40,11.41
khomeyn,33.64,38.68,45,76,4.9
mendi,9.8,58.66,55,0,3.22
arari,-3.45,88.76,62,64,5.61
indaiatuba,-23.09,82.15,77,44,11.05
kuroiso,36.97,16.18,72,0,1.7
quincy,30.59,78.8,73,20,8.05
bagting,15.56,73.73,89,48,3.22
lismore,-28.81,63.16,96,0,2.37
nagram,26.62,57.2,76,75,3.11
morales,8.28,90.47,58,24,1.32
curti,41.07,53.6,37,0,4.7
maringa,10.05,85.75,25,12,9.75
apacilagua,13.48,75.2,47,20,6.93
port moresby,-9.47,82.91,99,48,8.75
tigpalay,7.49,77.06,100,92,10.38
van buren,47.16,12.2,84,90,9.17
wanparti,16.36,68.69,76,0,8.08
promissao,-21.54,85.25,63,56,11.27
rifu,38.34,30.71,88,64,2.48
homnabad,17.77,59.15,89,0,4.83
guspini,39.54,51.8,62,0,3.36
toyokawa,34.83,41.0,80,40,8.05
madarounfa,13.3,75.2,22,8,9.17
maryborough,-25.54,65.86,88,0,0.2
nenton,15.8,76.93,31,8,2.55
epitalion,37.63,48.2,52,20,6.93
rohtak,28.9,55.4,62,0,2.82
morogoro,-6.82,79.18,64,48,6.91
anan,33.91,36.65,93,76,3.04
bacolod,10.68,75.26,93,24,6.73
mira loma,33.99,57.2,32,1,2.71
bisira,8.52,79.4,76,80,2.77
bhalki,18.04,59.15,89,0,4.83
safi,32.3,57.98,67,0,6.91
malazgirt,39.15,39.2,80,90,9.17
binitayan,13.31,77.56,93,64,7.52
nangka,6.78,75.2,100,90,4.7
cabra,37.47,53.6,76,0,2.48
tomigusuku,26.18,69.8,82,40,9.17
cerro blanco,37.27,59.0,72,40,3.36
molagavita,6.67,80.6,61,40,8.05
dhrangadhra,22.99,56.63,82,0,3.33
charallave,10.25,82.4,74,40,6.93
hopelchen,19.77,86.0,58,40,11.41
thakurdwara,29.19,45.92,89,0,2.59
shahpur,22.19,55.91,79,0,2.21
sanchor,24.76,58.52,65,0,2.77
banisilan,7.51,66.85,100,76,1.03
isla vista,34.41,57.2,94,1,4.7
ako,34.79,32.6,76,48,1.77
pawa,30.85,45.02,81,0,2.82
la cruz,23.92,80.26,49,68,2.82
mahon,51.89,48.2,100,75,14.99
sao felix do xingu,-6.64,79.22,90,36,2.59
hammonton,39.64,55.4,93,75,6.93
tenali,16.24,67.79,89,0,6.06
pa daet,19.5,55.4,100,20,2.82
sobue,35.25,41.0,80,40,8.05
padre garcia,13.88,78.59,88,68,13.85
surin,14.88,73.15,65,0,10.6
montevideo,44.94,26.6,49,1,12.75
nouakchott,18.08,70.76,84,0,12.84
callaway,46.98,15.8,78,1,9.17
cravo norte,6.3,92.23,49,20,13.18
cabildo,-32.43,69.8,52,0,13.87
sangmelima,2.93,69.14,96,88,2.21
mandiana,10.62,80.21,24,0,7.63
el verde,-0.05,62.75,49,24,2.04
dourbali,11.81,83.95,24,0,11.77
qiryat shemona,33.21,68.0,68,75,11.41
libres,18.25,72.47,78,64,2.26
burdeos,14.84,77.24,100,92,15.19
puerto colombia,10.99,87.8,66,20,14.99
xihua,33.79,37.78,41,0,13.78
mbumi,-7.91,81.16,67,0,7.02
turkmenabat,39.09,46.4,65,5,4.7
balayong,15.95,73.15,76,44,2.37
camargo,27.69,51.46,35,8,4.38
minatitlan,19.39,89.6,66,40,3.56
carcavelos,38.69,55.4,66,0,6.93
xiongzhou,32.34,48.2,66,44,4.47
eshowe,-28.89,67.48,94,92,3.0
lavras,-21.24,77.6,81,92,7.07
new port richey,28.24,80.6,83,80,3.36
marquard,-28.66,65.99,74,12,2.77
reedley,36.6,46.4,81,1,3.36
magoula,38.08,42.8,81,75,11.41
kandrian,-6.21,75.35,100,20,3.71
plano,33.01,46.4,70,1,6.93
greenville,34.85,66.2,100,90,14.99
chetpet,13.07,75.2,83,20,10.6
narashino,35.67,42.8,70,40,2.24
barcelona,41.38,50.0,81,0,2.24
kuliyapitiya,7.47,77.0,73,5,10.29
capira,8.76,89.6,59,40,12.75
pajapan,18.26,80.6,88,40,16.11
cape coast,5.11,81.29,64,0,1.48
meulaboh,4.14,78.23,100,48,3.0
bhilai,21.21,55.78,80,0,2.82
dumalinao,7.82,73.28,97,80,2.71
nong bua,15.87,69.32,81,0,1.81
bah,26.87,53.08,81,0,2.82
manacsac,15.6,77.0,83,75,4.7
usta muhammad,28.18,53.98,84,0,2.48
el cristo,20.11,84.2,51,40,5.82
lipari,38.47,55.4,54,0,9.17
leon,40.74,21.2,67,40,8.05
santa rosa de aguan,15.95,80.12,98,24,9.31
bagong barrio,14.9,78.8,100,75,5.79
topi,34.07,51.8,76,20,2.04
santa teresa,10.26,82.4,74,40,6.93
englewood,39.65,35.6,55,75,4.7
abuja,9.06,81.2,55,0,2.71
anaheim,33.83,60.8,26,90,3.36
nandurbar,21.36,61.9,86,68,4.38
maibong,25.3,51.1,87,0,1.54
goianira,-16.5,84.2,45,75,4.7
cambuga,13.62,78.1,91,68,11.32
javalera,14.26,78.8,100,75,14.18
takhatpur,22.13,55.82,77,0,2.55
trinidad,-33.52,73.96,71,92,20.11
george town,5.42,78.8,88,75,3.36
tamarac,26.21,80.6,57,40,6.93
goalpara,26.18,52.36,87,12,2.33
ilo,-17.65,73.33,67,0,4.12
infanta,15.83,79.76,82,8,7.58
puerto rico,-26.82,73.01,100,92,4.05
nangka,6.78,75.2,100,90,4.7
santa ana arriba,19.3,84.2,94,75,9.17
karatoulas,37.73,48.2,52,20,6.93
arenillas,-3.56,80.6,74,75,9.17
micomeseng,2.15,76.16,86,80,3.11
parambu,-6.21,88.4,45,24,10.38
estrela,-29.5,71.93,98,92,2.48
brun,35.7,0.92,77,8,1.7
la labor,21.24,71.84,40,24,7.02
cibeureum,-6.73,70.04,82,76,2.26
munxar,36.03,50.0,66,0,5.82
bachhraon,28.93,49.61,79,0,3.04
porto calvo,-9.05,77.0,94,75,9.17
santa teresita,13.87,78.59,88,68,13.85
valle de banderas,20.81,80.6,69,75,2.24
neiba,18.49,87.8,55,75,16.11
noda,35.95,42.8,70,40,2.24
koutselion,39.59,41.0,44,0,2.1
massaranduba,-7.18,76.25,88,68,8.41
chirala,15.82,75.76,100,0,10.42
una,-15.29,82.55,91,0,6.91
cocula,20.37,71.6,35,20,3.22
kasba,25.86,59.38,87,0,3.22
telabastagan,15.12,77.0,83,75,4.7
duku,11.24,83.45,30,0,8.25
jambusar,22.05,64.1,91,0,4.56
abucay,14.72,78.8,78,40,4.7
tagkawayan,13.97,78.1,91,68,11.32
kamifukuoka,35.87,42.8,69,1,3.36
sehithwa,-20.47,76.34,84,92,3.11
montenegro,-29.68,77.0,94,90,3.36
jasmine estates,28.29,80.6,61,40,7.4
moyobamba,-6.03,76.88,80,92,4.79
traganon,37.9,48.2,52,20,6.93
bonito,-21.13,85.43,64,80,15.08
mount pleasant,33.16,42.8,80,90,6.93
daman,20.42,74.5,98,76,7.36
